,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
31,hilo,90,US,1546732380,57,19.71,-155.08,78.08,11.41
32,chengde,0,CN,1546735955,59,40.97,117.93,0.93,2.59
33,cape town,0,ZA,1546732800,72,-33.93,18.42,66.2,13.87
34,manggar,0,ID,1546735955,99,-2.88,108.27,78.42,1.48
35,puerto ayora,20,EC,1546732800,65,-0.74,-90.35,82.4,16.11
36,dikson,36,RU,1546735956,97,73.51,80.55,-5.42,15.79
37,kenai,40,US,1546732560,86,60.55,-151.26,8.96,3.36
38,amparafaravola,92,MG,1546735957,100,-17.68,48.22,65.6,2.48
39,luangwa,36,MZ,1546735957,99,-15.62,30.4,73.11,1.81
40,gubkinskiy,20,RU,1546735958,76,64.43,76.5,-7.04,12.33
41,sibolga,32,ID,1546735958,100,1.74,98.78,68.61,1.81
42,sarangani,0,PH,1546735958,98,5.4,125.46,82.07,17.47
43,ushuaia,40,AR,1546732800,46,-54.81,-68.31,50.0,14.99
44,kaitangata,92,NZ,1546735959,99,-46.28,169.85,56.37,11.21
45,punta arenas,75,CL,1546732800,70,-53.16,-70.91,46.4,24.16
46,bhadrapur,0,NP,1546735959,80,26.55,88.09,47.87,4.05
47,kavieng,48,PG,1546735960,99,-2.57,150.8,84.36,17.47
48,lebu,0,ET,1546732800,39,8.96,38.73,50.0,4.7
49,hasaki,75,JP,1546734600,41,35.73,140.83,41.0,12.75
50,husavik,32,CA,1546735961,74,50.56,-96.99,7.82,7.85
51,berlevag,80,NO,1546735961,100,70.86,29.09,32.3,4.61
52,albany,40,US,1546733880,78,42.65,-73.75,37.04,5.82
53,carnarvon,0,ZA,1546735962,41,-30.97,22.13,60.87,12.21
54,bambous virieux,40,MU,1546732800,83,-20.34,57.76,80.6,8.05
55,mahebourg,40,MU,1546732800,83,-20.41,57.7,80.6,8.05
56,souillac,90,FR,1546732800,69,45.6,-0.6,37.4,9.17
57,yellowknife,90,CA,1546732800,84,62.45,-114.38,3.2,3.36
58,the valley,20,AI,1546732800,73,18.22,-63.06,78.8,16.11
59,barrow,0,AR,1546735964,37,-38.31,-60.23,82.79,17.25
60,necochea,0,AR,1546735964,57,-38.55,-58.74,76.71,15.68
61,mirnyy,88,RU,1546735966,89,56.57,36.46,18.17,6.17
62,erzin,75,TR,1546732200,100,36.95,36.2,48.2,4.7
63,ribeira grande,75,PT,1546732800,100,38.52,-28.7,59.0,18.34
64,norman wells,90,CA,1546732800,91,65.28,-126.83,1.4,2.93
65,kizilskoye,68,RU,1546735967,82,52.73,58.89,7.19,11.65
66,port elizabeth,40,US,1546733580,93,39.31,-74.98,46.94,10.29
67,wanaka,92,NZ,1546735968,100,-44.7,169.14,59.88,0.92
68,bethel,75,US,1546733820,84,60.79,-161.76,12.02,6.93
69,ambilobe,12,MG,1546735969,94,-13.19,49.05,71.0,2.71
70,mata,75,CU,1546732320,73,22.63,-79.93,73.4,5.82
71,thompson,5,CA,1546732800,83,55.74,-97.86,-13.01,3.38
72,hella,88,IS,1546735970,97,63.84,-20.4,40.71,23.06
73,hovd,90,NO,1546734000,93,63.83,10.7,44.6,12.75
74,bluff,0,AU,1546735696,51,-23.58,149.07,85.62,9.98
75,sangar,48,RU,1546735971,48,63.92,127.47,-29.67,5.95
76,hobart,40,AU,1546734600,40,-42.88,147.33,68.0,18.34
77,nong ki,40,TH,1546732800,88,14.69,102.54,71.6,3.36
78,mataura,92,NZ,1546735972,94,-46.19,168.86,57.99,6.96
79,victoria,75,BN,1546734600,70,5.28,115.24,84.2,6.93
80,japura,92,ID,1546735973,98,-0.42,102.29,72.21,2.48
81,mar del plata,0,AR,1546735973,33,-46.43,-67.52,71.72,30.44
82,taoudenni,0,ML,1546735974,31,22.68,-3.98,53.49,13.78
83,luderitz,0,NA,1546735974,72,-26.65,15.16,60.6,18.25
84,portland,40,US,1546732380,67,45.52,-122.67,48.02,3.36
85,sortland,92,NO,1546734000,93,68.69,15.42,39.2,29.97
86,imeni poliny osipenko,0,RU,1546735976,29,52.42,136.49,-19.86,6.29
87,geraldton,90,CA,1546732800,79,49.72,-86.95,21.2,5.82
88,narsaq,80,GL,1546735977,73,60.91,-46.05,6.92,4.05
89,tiksi,24,RU,1546735977,57,71.64,128.87,-19.91,8.3
90,cockburn town,48,TC,1546735978,99,21.46,-71.14,79.14,17.02
91,kapaa,75,US,1546732560,57,22.08,-159.32,80.06,11.41
92,hermanus,0,ZA,1546735979,96,-34.42,19.24,52.41,3.71
93,klaksvik,0,FO,1546734000,70,62.23,-6.59,42.8,19.46
94,pangody,48,RU,1546735979,81,65.85,74.49,1.34,20.27
95,basti,32,IN,1546735979,79,26.79,82.72,45.93,6.73
96,sola,90,NO,1546734000,93,58.89,5.65,46.4,14.99
97,ahuimanu,90,US,1546732620,59,21.44,-157.84,80.96,9.17
98,swinford,88,IE,1546735980,97,53.94,-8.95,49.17,6.4
99,biak,8,ID,1546735981,92,-0.91,122.88,81.75,2.71
100,georgetown,20,GY,1546732800,94,6.8,-58.16,75.2,4.7
101,kasongo-lunda,80,CD,1546735984,97,-6.48,16.82,69.65,2.59
102,novoagansk,20,RU,1546735985,72,61.94,76.66,-5.91,4.72
103,beringovskiy,80,RU,1546735985,89,63.05,179.32,22.85,33.35
104,vila franca do campo,75,PT,1546732800,88,37.72,-25.43,62.6,20.8
105,pevek,24,RU,1546735986,100,69.7,170.27,-23.1,4.16
106,rumford,75,US,1546735140,86,44.55,-70.55,35.06,2.04
107,muncar,76,ID,1546735987,87,-8.43,114.34,81.84,2.15
108,oksfjord,92,NO,1546734000,100,70.24,22.35,39.2,32.21
109,touros,40,BR,1546732800,78,-5.2,-35.46,80.6,8.05
110,tottori,75,JP,1546732800,100,35.5,134.23,42.8,19.46
111,kahului,20,US,1546732560,49,20.89,-156.47,82.94,19.46
112,sao felix do xingu,32,BR,1546735988,90,-6.64,-51.99,77.12,2.71
113,ilulissat,40,GL,1546732200,71,69.22,-51.1,8.6,19.46
114,turukhansk,80,RU,1546735989,75,65.8,87.96,-3.17,18.81
115,lasa,75,CY,1546734600,71,34.92,32.53,57.2,5.82
116,tingo maria,44,PE,1546735990,93,-9.29,-76.01,65.42,1.7
117,daru,76,SL,1546735990,65,7.99,-10.85,71.4,3.15
118,mombetsu,75,JP,1546732800,67,44.35,143.35,21.2,5.82
119,wadi musa,0,JO,1546732200,48,30.32,35.48,44.6,9.17
120,saint-philippe,90,CA,1546734900,95,45.36,-73.48,35.6,5.82
121,hachinohe,12,JP,1546735991,66,40.47,141.48,29.55,9.64
122,celestun,0,MX,1546735991,99,20.87,-90.4,74.82,18.48
123,komsomolets,80,RU,1546735972,86,52.77,41.29,17.67,5.95
124,severo-yeniseyskiy,48,RU,1546735992,73,60.37,93.04,0.17,5.28
125,tabou,44,CI,1546735992,100,4.42,-7.36,82.02,9.53
126,idlib,75,SY,1546732200,100,35.93,36.64,48.2,4.7
127,vostok,36,RU,1546735993,72,46.45,135.83,-3.26,4.72
128,matay,0,EG,1546735993,81,28.42,30.79,36.17,5.39
129,bonthe,32,SL,1546735994,79,7.53,-12.5,80.85,4.72
130,baoning,90,CN,1546732800,87,25.34,110.03,42.8,6.71
131,sorland,80,NO,1546735994,98,67.67,12.69,44.27,22.28
132,rocha,0,UY,1546735994,47,-34.48,-54.34,73.2,13.11
133,faanui,12,PF,1546735995,99,-16.48,-151.75,85.22,10.54
134,saint-georges,92,CA,1546735995,97,46.12,-70.67,31.17,2.59
135,constitucion,75,MX,1546732020,12,23.99,-104.67,73.4,4.7
136,tura,0,IN,1546735996,86,25.52,90.21,49.67,4.61
137,donskoy,40,RU,1546734600,92,47.12,39.32,21.2,8.95
138,avera,1,US,1546734900,66,33.19,-82.53,57.02,3.36
139,clemson,1,US,1546733700,50,34.69,-82.84,55.94,12.75
140,bilma,24,NE,1546735997,30,18.69,12.92,52.68,12.44
141,huarmey,76,PE,1546735997,75,-10.07,-78.15,71.31,3.71
142,moron,76,VE,1546735997,63,10.49,-68.2,75.72,2.26
143,qaanaaq,48,GL,1546735998,88,77.48,-69.36,1.65,7.4
144,saint-pierre,90,FR,1546732800,93,48.95,4.24,37.4,8.05
145,termoli,12,IT,1546735998,91,42.0,14.99,39.54,8.97
146,aleksandrovskiy zavod,8,RU,1546735999,45,50.92,117.94,-29.94,2.37
147,sao filipe,0,CV,1546735999,92,14.9,-24.5,74.01,10.98
148,iqaluit,40,CA,1546732800,76,63.75,-68.52,-9.41,6.93
149,jalu,0,LY,1546736000,71,29.03,21.55,44.31,11.65
150,grand gaube,40,MU,1546732800,83,-20.01,57.66,80.6,8.05
151,cazones,90,MX,1546731600,78,20.72,-97.32,71.6,2.59
152,san cristobal,20,EC,1546732800,77,-0.39,-78.55,62.6,8.05
153,mutsu,75,JP,1546732800,92,41.29,141.2,26.6,6.93
154,seara,75,BR,1546732800,88,-27.15,-52.31,71.6,6.93
155,marienburg,75,DE,1546734000,100,52.12,9.98,44.6,5.82
156,srednekolymsk,20,RU,1546736002,38,67.46,153.71,-25.26,2.37
157,mwinilunga,92,ZM,1546736002,99,-11.73,24.43,63.57,2.71
158,mount gambier,90,AU,1546732800,63,-37.83,140.78,64.4,8.05
159,meulaboh,92,ID,1546736003,100,4.14,96.13,78.47,5.39
160,san quintin,0,PH,1546736004,80,17.54,120.52,67.98,3.6
161,quatre cocos,40,MU,1546732800,83,-20.21,57.76,80.6,8.05
162,nikolskoye,90,RU,1546734600,79,59.7,30.79,21.2,6.71
163,severo-kurilsk,64,RU,1546735977,100,50.68,156.12,21.32,6.29
164,udachnyy,48,RU,1546736005,68,66.42,112.4,-5.87,4.61
165,east london,56,ZA,1546736000,100,-33.02,27.91,68.84,22.28
166,tuktoyaktuk,90,CA,1546732800,84,69.44,-133.03,-2.21,3.36
167,kirkwall,92,GB,1546734000,100,58.98,-2.96,44.6,14.99
168,konotop,92,UA,1546736007,93,51.24,33.21,23.43,11.21
169,jamestown,0,AU,1546735976,42,-33.21,138.6,67.44,10.09
170,lorengau,80,PG,1546736009,95,-2.02,147.27,84.95,21.61
171,la ronge,5,CA,1546732800,83,55.1,-105.3,-7.61,4.94
172,zlobin,0,HR,1546734600,69,45.29,14.65,33.8,3.36
173,marrakesh,0,MA,1546734600,45,31.63,-7.99,44.6,1.12
174,college,24,US,1546732680,71,64.86,-147.8,-27.94,2.93
175,camacha,75,PT,1546732800,67,33.08,-16.33,62.6,11.41
176,luganville,8,VU,1546736011,99,-15.51,167.18,82.34,11.88
177,cape canaveral,1,US,1546735560,72,28.41,-80.6,64.58,6.93
178,ubay,75,PH,1546732800,78,10.06,124.47,80.6,10.29
179,ust-omchug,20,RU,1546736012,0,61.13,149.63,-52.76,2.48
180,longyearbyen,75,NO,1546732200,73,78.22,15.63,24.8,16.11
181,te anau,92,NZ,1546736012,100,-45.41,167.72,51.33,3.27
182,omsukchan,64,RU,1546736012,51,62.53,155.8,-32.24,2.93
183,flin flon,5,CA,1546732800,83,54.77,-101.88,-9.41,2.48
184,rawson,0,AR,1546736013,25,-43.3,-65.11,79.5,10.76
185,namwala,20,ZM,1546736013,96,-15.75,26.45,68.52,3.6
186,zyryanka,48,RU,1546736014,71,65.73,150.89,-15.9,2.71
187,tuatapere,92,NZ,1546736015,94,-46.13,167.69,57.99,7.63
188,clyde river,1,CA,1546732800,82,70.47,-68.59,-23.81,5.82
189,conde,88,BR,1546736016,88,-11.81,-37.61,78.51,8.97
190,labuhan,20,ID,1546735967,83,-2.54,115.51,79.23,2.82
191,avarua,75,CK,1546732800,61,-21.21,-159.78,82.4,5.82
192,pochutla,5,MX,1546731900,69,15.74,-96.47,82.4,7.52
193,bocana de paiwas,100,NI,1546736017,99,12.79,-85.12,72.8,8.63
194,yumen,56,CN,1546736017,76,40.29,97.04,5.88,8.41
195,naryan-mar,32,RU,1546736017,67,67.67,53.09,2.46,17.69
196,finnsnes,92,NO,1546734000,86,69.23,17.98,39.2,21.92
197,gigmoto,76,PH,1546736018,99,13.78,124.39,78.78,15.79
198,fortuna,0,ES,1546734600,32,38.18,-1.13,55.4,11.41
199,dingle,56,PH,1546736019,82,11.0,122.67,76.67,16.69
200,phalaborwa,92,ZA,1546732800,88,-23.95,31.14,69.8,5.82
201,sept-iles,90,CA,1546734060,92,50.2,-66.38,28.4,5.82
202,cayenne,88,GF,1546734600,88,4.94,-52.33,78.8,6.93
203,salalah,0,OM,1546732200,41,17.01,54.1,77.0,9.17
204,isangel,64,VU,1546735984,99,-19.55,169.27,78.65,18.48
205,port augusta,0,AU,1546732800,56,-32.49,137.76,68.0,17.22
206,forbes,0,AU,1546736023,45,-33.38,148.01,74.64,6.73
207,khatanga,36,RU,1546736023,43,71.98,102.47,-27.6,2.71
208,boa vista,20,BR,1546732800,65,2.82,-60.67,80.6,11.41
209,sorong,44,ID,1546736024,100,-0.86,131.25,81.35,1.7
210,vao,68,EE,1546736024,88,59.1,26.19,20.19,4.5
211,kolpashevo,48,RU,1546736025,77,58.31,82.9,7.64,5.28
212,cabedelo,0,BR,1546732800,78,-6.97,-34.84,80.6,6.93
213,bodden town,75,KY,1546732800,88,19.28,-81.25,77.0,11.41
214,provideniya,12,RU,1546735988,100,64.42,-173.23,-0.02,27.31
215,sao jose da coroa grande,80,BR,1546736026,91,-8.9,-35.15,78.15,7.74
216,hirado,75,JP,1546732800,81,33.32,129.49,46.4,4.7
217,batagay,12,RU,1546736027,0,67.65,134.64,-38.58,2.93
218,francisco sa,0,BR,1546736027,76,-16.48,-43.49,69.96,4.16
219,wajir,0,KE,1546736027,28,1.75,40.07,74.91,9.64
220,lazaro cardenas,75,MX,1546731660,27,28.39,-105.62,64.4,5.82
221,amapa,40,HN,1546732800,78,15.09,-87.97,78.8,9.17
222,acapulco,75,MX,1546731960,74,16.86,-99.88,82.4,3.36
223,chokurdakh,24,RU,1546736028,47,70.62,147.9,-28.91,4.61
224,sungairaya,88,ID,1546736029,93,0.7,108.9,77.3,4.05
225,cherskiy,32,RU,1546736029,48,68.75,161.3,-29.27,5.61
226,santa cruz,75,US,1546734660,86,36.97,-122.03,55.4,11.41
227,vanimo,80,PG,1546736031,100,-2.67,141.3,81.39,22.17
228,amguri,20,IN,1546736031,80,26.81,94.53,43.77,3.04
229,kapchorwa,0,UG,1546736031,90,1.4,34.45,56.46,1.14
230,batemans bay,0,AU,1546736031,82,-35.71,150.18,67.53,5.39
231,kidal,36,ML,1546736032,52,18.44,1.41,49.94,5.28
232,zhoucheng,90,CN,1546732800,100,31.35,119.33,35.6,4.47
233,aswan,12,EG,1546736033,85,24.09,32.9,46.34,7.4
234,belaya gora,64,RU,1546736033,59,68.54,146.19,-20.09,3.04
235,half moon bay,90,US,1546735200,76,37.46,-122.43,57.02,17.22
236,innisfail,90,CA,1546732800,92,52.02,-113.95,21.2,14.99
237,sheboygan,1,US,1546733700,64,43.75,-87.71,42.08,5.82
238,erdenet,20,MN,1546736034,48,49.03,104.04,-32.1,2.59
239,aykhal,64,RU,1546736035,62,65.95,111.51,-8.88,6.51
240,nelidovo,76,RU,1546736035,87,56.22,32.78,20.82,7.52
241,guangyuan,32,CN,1546736036,90,32.43,105.86,27.84,2.48
242,varhaug,90,NO,1546734000,93,58.61,5.65,46.4,14.99
243,boguchany,68,RU,1546736036,81,58.38,97.46,-5.01,6.17
244,natal,20,BR,1546732800,74,-5.81,-35.21,82.4,9.17
245,bathsheba,40,BB,1546732800,78,13.22,-59.52,77.0,19.46
246,jojoima,76,SL,1546736037,65,7.88,-10.79,71.4,3.15
247,santa maria,92,BR,1546736038,80,-29.69,-53.81,76.08,9.42
248,kudahuvadhoo,76,MV,1546736039,100,2.67,72.89,82.02,12.77
249,tutoia,92,BR,1546736039,84,-2.76,-42.27,80.04,11.21
250,bredasdorp,0,ZA,1546732800,77,-34.53,20.04,59.0,2.24
251,altamira,64,BR,1546736040,94,-3.2,-52.21,76.53,3.15
252,gaogou,64,CN,1546736040,100,31.12,117.94,37.2,5.95
253,serik,75,TR,1546732200,62,36.92,31.1,51.8,14.99
254,taga,75,JP,1546732800,48,35.21,136.34,42.8,17.22
255,bekessamson,44,HU,1546732800,100,46.42,20.63,26.6,1.12
256,launceston,0,AU,1546734600,37,-41.43,147.14,66.2,8.05
257,bulgan,0,MN,1546736045,44,48.81,103.53,-30.3,2.71
258,san carlos de bariloche,0,AR,1546732800,32,-41.13,-71.31,66.2,20.8
259,shahdadkot,76,PK,1546736046,92,27.85,67.91,47.55,2.37
260,beira,0,ES,1546734600,100,43.2,-8.36,32.0,3.36
261,luwuk,8,ID,1546736046,92,-0.95,122.79,81.75,2.71
262,bako,0,NG,1546736047,36,9.68,6.4,73.07,12.77
263,tutzing,92,DE,1546734000,100,47.91,11.28,33.8,23.04
264,kununurra,20,AU,1546734600,55,-15.77,128.74,87.8,3.36
265,kruisfontein,20,ZA,1546736032,86,-34.0,24.73,65.37,8.63
266,kodiak,1,US,1546733700,45,39.95,-94.76,49.64,5.95
267,namibe,80,AO,1546736048,100,-15.19,12.15,74.82,3.38
268,cairns,20,AU,1546734600,58,-16.92,145.77,87.8,11.41
269,caravelas,0,BR,1546736049,98,-17.73,-39.27,80.9,18.48
270,nome,1,US,1546733700,71,30.04,-94.42,56.84,5.82
271,coquimbo,0,CL,1546732800,72,-29.95,-71.34,64.4,6.93
272,yulara,0,AU,1546732800,20,-25.24,130.99,82.4,18.34
273,arman,12,RU,1546736050,59,59.7,150.17,-13.47,12.66
274,kieta,92,PG,1546736050,91,-6.22,155.63,84.14,7.63
275,venice,90,US,1546734900,72,27.1,-82.45,64.4,14.99
276,birao,8,CF,1546736051,44,10.3,22.78,70.5,8.19
277,upernavik,0,GL,1546736051,97,72.79,-56.15,4.53,9.42
278,swan river,44,CA,1546736028,81,52.11,-101.27,12.59,3.15
279,sawakin,64,SD,1546736052,99,19.1,37.33,71.67,3.38
280,san patricio,20,PY,1546736052,90,-26.98,-56.83,75.72,4.38
281,pa sang,40,TH,1546734600,88,18.53,98.94,69.8,2.24
282,magadan,8,RU,1546736053,100,59.56,150.8,-6.18,14.45
283,san vicente,20,SV,1546732200,74,13.64,-88.78,80.6,3.36
284,lata,92,IN,1546736055,100,30.78,78.62,30.63,1.48
285,eydhafushi,24,MV,1546736055,100,5.1,73.07,80.49,11.21
286,kearney,1,US,1546734900,85,40.7,-99.08,40.64,9.17
287,tessalit,44,ML,1546736056,25,20.2,1.01,52.82,8.41
288,fare,44,PF,1546736056,92,-16.7,-151.02,86.07,13.0
289,bemidji,1,US,1546734900,89,47.48,-94.89,25.7,8.05
290,delmas,75,HT,1546732800,69,18.55,-72.29,80.6,10.29
291,serenje,64,ZM,1546736057,96,-13.23,30.22,66.14,2.93
292,cukai,75,MY,1546732800,100,4.25,103.42,77.0,2.24
293,bonavista,80,CA,1546736049,98,48.65,-53.11,28.7,5.73
294,vila do maio,20,CV,1546732800,77,15.13,-23.22,69.8,12.75
295,hofn,0,IS,1546736058,100,64.25,-15.21,39.45,20.6
296,mwingi,44,KE,1546736059,97,-0.93,38.07,63.03,3.38
297,khandyga,8,RU,1546736059,0,62.65,135.58,-43.26,2.59
298,robertsport,44,LR,1546736059,100,6.75,-11.37,83.64,6.85
299,ust-nera,44,RU,1546736059,0,64.57,143.24,-49.65,1.7
300,nyaunglebin,0,MM,1546736060,81,17.95,96.73,68.52,4.38
301,vengerovo,76,RU,1546736060,83,55.68,76.74,13.44,10.98
302,margate,40,AU,1546734600,40,-43.03,147.26,68.0,18.34
303,jiangyou,80,CN,1546736060,90,31.78,104.73,34.5,3.71
304,gat,20,SN,1546734600,28,14.69,-16.54,73.4,12.75
305,katherine,8,AU,1546734600,62,-14.47,132.26,86.0,3.36
306,sao joaquim,92,BR,1546735952,95,-28.29,-49.93,64.07,3.15
307,saskylakh,8,RU,1546736061,55,71.97,114.09,-32.06,3.15
308,hambantota,0,LK,1546733400,100,6.12,81.12,71.6,9.17
309,paka,0,HR,1546734600,92,45.29,18.06,30.2,14.99
310,saint george,0,GR,1546736062,63,39.45,22.34,11.15,2.48
311,villa del rosario,40,CO,1546732800,54,7.83,-72.47,84.2,10.29
312,oktyabrskoye,40,RU,1546734600,84,56.73,85.44,3.2,6.71
313,waingapu,36,ID,1546736063,96,-9.65,120.26,78.15,3.83
314,broken hill,0,AU,1546732800,33,-31.97,141.45,71.6,16.11
315,port shepstone,0,ZA,1546736031,91,-30.74,30.45,70.64,17.69
316,tefe,68,BR,1546736064,93,-3.35,-64.71,75.54,4.94
317,ilhabela,92,BR,1546735827,100,-23.78,-45.36,76.08,6.62
318,port lincoln,0,AU,1546736065,83,-34.72,135.86,66.63,5.06
319,mehamn,92,NO,1546736065,97,71.03,27.85,36.75,5.73
320,hirara,75,JP,1546732800,100,24.8,125.28,69.8,9.17
321,lubyany,75,RU,1546734600,85,56.04,51.4,19.4,6.71
322,nara,75,JP,1546732800,80,34.68,135.8,44.6,3.36
323,adrar,0,DZ,1546732800,48,27.87,-0.29,42.8,10.29
324,castro,44,CL,1546732800,76,-42.48,-73.76,55.4,4.7
325,torbay,90,CA,1546732800,99,47.66,-52.73,32.0,11.41
326,katol,0,IN,1546734600,82,21.28,78.59,59.0,3.36
327,egvekinot,0,RU,1546736071,0,66.32,-179.17,-39.62,2.37
328,alyangula,40,AU,1546732800,62,-13.85,136.42,89.6,5.82
329,gizo,40,IL,1546734000,62,31.8,34.94,53.6,13.87
330,bethal,36,ZA,1546736072,96,-26.46,29.47,57.27,9.75
331,casper,1,US,1546732380,48,42.87,-106.31,39.02,14.99
332,lagoa,0,PT,1546732800,75,37.14,-8.45,44.6,4.7
333,jhargram,0,IN,1546736073,79,22.45,86.99,47.82,3.15
334,prince rupert,90,CA,1546732800,93,54.32,-130.32,37.4,2.24
335,vestmannaeyjar,88,IS,1546736074,97,63.44,-20.27,40.71,23.06
336,roebourne,0,AU,1546736075,71,-20.77,117.15,84.14,5.73
337,otane,0,NZ,1546736075,41,-39.89,176.62,80.72,11.77
338,manosque,0,FR,1546734600,73,43.83,5.78,42.8,24.16
339,bandarbeyla,92,SO,1546736076,100,9.49,50.81,74.82,16.69
340,dunedin,92,NZ,1546735903,100,-45.87,170.5,54.8,3.15
341,formosa,90,AR,1546732800,88,-26.19,-58.17,78.8,5.82
342,kijang,0,KR,1546732800,29,35.24,129.21,33.8,8.05
343,sinnamary,92,GF,1546736077,100,5.38,-52.96,76.8,10.42
344,wukari,0,NG,1546736078,37,7.87,9.78,73.07,7.85
345,aksarka,8,RU,1546736078,69,66.56,67.8,-5.01,16.91
346,rudnogorsk,56,RU,1546736078,66,57.27,103.75,-15.18,6.29
347,murmashi,75,RU,1546734600,79,68.82,32.82,24.8,4.47
348,tripoli,0,GR,1546736079,53,37.51,22.37,2.24,1.59
349,santa cruz de la palma,24,ES,1546734600,29,28.68,-17.76,62.6,6.93
350,hithadhoo,80,MV,1546736080,100,-0.6,73.08,80.22,5.61
351,hami,76,CN,1546735906,62,42.84,93.51,3.18,6.62
352,yarada,0,IN,1546734600,93,17.65,83.27,59.0,4.7
353,shambu,0,ET,1546736080,66,9.57,37.1,38.82,2.48
354,pisco,0,PE,1546732800,83,-13.71,-76.2,71.6,14.99
355,timmins,90,CA,1546734480,92,48.48,-81.33,26.6,6.93
356,port-gentil,80,GA,1546736081,100,-0.72,8.78,78.29,5.28
357,burg,88,DE,1546735869,100,52.27,11.86,36.84,6.85
358,bahir dar,0,ET,1546736083,32,11.59,37.39,40.04,2.82
359,bom jesus,44,BR,1546736083,65,-9.08,-44.36,77.57,4.72
360,port blair,92,IN,1546736084,100,11.67,92.75,78.47,28.1
361,coari,76,BR,1546736084,92,-4.09,-63.14,78.33,4.94
362,sterling,1,US,1546734900,70,39.0,-77.4,53.06,9.17
363,palanga,64,RO,1546736084,83,44.45,25.08,21.14,7.4
364,barcelos,0,PT,1546732800,80,41.53,-8.62,39.2,3.36
365,brandon,1,US,1546733700,85,43.59,-96.57,33.98,6.62
366,bago,75,MM,1546734600,73,17.34,96.48,77.0,3.36
367,le port,0,FR,1546736086,50,42.87,1.37,22.49,2.71
368,lompoc,90,US,1546735320,93,34.64,-120.46,53.06,11.41
369,adre,8,TD,1546736086,40,13.47,22.2,66.99,8.97
370,kabinda,88,CD,1546736087,97,-6.14,24.49,69.78,5.73
371,shakawe,8,BW,1546736087,90,-18.36,21.84,69.24,2.15
372,christchurch,20,NZ,1546732800,77,-43.53,172.64,68.0,13.87
373,kabalo,64,CD,1546736088,99,-6.05,26.92,70.19,5.95
374,glendive,1,US,1546734900,92,47.11,-104.71,28.4,6.93
375,yeppoon,75,AU,1546734600,61,-23.13,150.74,82.4,11.41
376,cidreira,88,BR,1546736049,77,-30.17,-50.22,73.56,18.14
377,abu dhabi,0,AE,1546732800,82,24.47,54.37,66.2,5.17
378,liverpool,90,GB,1546734000,87,53.41,-2.98,42.8,3.36
379,potosi,36,BO,1546736089,86,-19.59,-65.75,43.59,0.58
380,oliveira dos brejinhos,24,BR,1546736089,92,-12.32,-42.89,68.43,3.27
381,ubinskoye,92,RU,1546736090,85,55.31,79.68,11.28,11.43
382,saldanha,0,PT,1546736090,74,41.42,-6.55,20.6,2.71
383,leningradskiy,12,RU,1546735798,93,69.38,178.42,-11.04,1.36
384,abidjan,44,CI,1546732800,88,5.32,-4.02,73.4,2.24
385,khash,0,IR,1546736091,68,28.22,61.21,22.26,2.71
386,canyon,1,US,1546734900,35,34.98,-101.92,57.02,6.93
